"method","cohort","time","label","tau_true","mean_est","var_est","bias"
"Flexible",3,3,"D_3_3",2,1.999459,0.00506395,-0.000541
"Flexible",3,4,"D_3_4",2,1.995853,0.00513214,-0.004147
"Flexible",3,5,"D_3_5",2,1.997169,0.00612591,-0.002831
"Flexible",3,6,"D_3_6",2,2.004088,0.00522303,0.004088
"Flexible",3,7,"D_3_7",2,2.002436,0.00719985,0.002436
"Flexible",3,8,"D_3_8",2,1.996682,0.00694965,-0.003318
"Flexible",5,5,"D_5_5",2,1.999125,0.00498094,-0.000875
"Flexible",5,6,"D_5_6",2,2.002651,0.00465927,0.002651
"Flexible",5,7,"D_5_7",2,2.000855,0.00630426,0.000855
"Flexible",5,8,"D_5_8",2,1.991129,0.00629271,-0.008871
"Flexible",7,7,"D_7_7",4,3.998942,0.0057421,-0.001058
"Flexible",7,8,"D_7_8",4,3.998393,0.0059239,-0.001607
"L0 (L=0.5)",3,3,"D_3_3",2,1.997721,0.00168446,-0.002279
"L0 (L=0.5)",3,4,"D_3_4",2,1.998512,0.00165603,-0.001488
"L0 (L=0.5)",3,5,"D_3_5",2,1.997978,0.00178945,-0.002022
"L0 (L=0.5)",3,6,"D_3_6",2,1.999153,0.00161857,-0.000847
"L0 (L=0.5)",3,7,"D_3_7",2,1.998714,0.00161249,-0.001286
"L0 (L=0.5)",3,8,"D_3_8",2,1.999464,0.00162463,-0.000536
"L0 (L=0.5)",5,5,"D_5_5",2,1.998774,0.00158253,-0.001226
"L0 (L=0.5)",5,6,"D_5_6",2,1.999092,0.00160233,-0.000908
"L0 (L=0.5)",5,7,"D_5_7",2,1.998923,0.00163337,-0.001077
"L0 (L=0.5)",5,8,"D_5_8",2,1.998422,0.00156555,-0.001578
"L0 (L=0.5)",7,7,"D_7_7",4,3.9998,0.00232302,-2e-04
"L0 (L=0.5)",7,8,"D_7_8",4,3.9998,0.00232302,-2e-04
"L0 (L=2)",3,3,"D_3_3",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",3,4,"D_3_4",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",3,5,"D_3_5",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",3,6,"D_3_6",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",3,7,"D_3_7",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",3,8,"D_3_8",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",5,5,"D_5_5",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",5,6,"D_5_6",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",5,7,"D_5_7",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",5,8,"D_5_8",2,1.998565,0.00138828,-0.001435
"L0 (L=2)",7,7,"D_7_7",4,3.99958,0.00231762,-0.00042
"L0 (L=2)",7,8,"D_7_8",4,3.99958,0.00231762,-0.00042
"L0 (L=10)",3,3,"D_3_3",2,2.25364,0.11144,0.25364
"L0 (L=10)",3,4,"D_3_4",2,2.320277,0.15383898,0.320277
"L0 (L=10)",3,5,"D_3_5",2,2.341631,0.1867315,0.341631
"L0 (L=10)",3,6,"D_3_6",2,2.352824,0.18269013,0.352824
"L0 (L=10)",3,7,"D_3_7",2,2.191076,0.07485121,0.191076
"L0 (L=10)",3,8,"D_3_8",2,2.190347,0.07356681,0.190347
"L0 (L=10)",5,5,"D_5_5",2,2.228039,0.08691908,0.228039
"L0 (L=10)",5,6,"D_5_6",2,2.22793,0.0845014,0.22793
