"m","att_bias","att_var","catt_var"
1,0.0977049001292428,0.000600553491743217,0.000600553491743217
2,0.0196835753951219,0.00207872442258641,0.0245133237703327
3,0.0112039458073861,0.00275160670156717,0.0266994072181004
4,0.0128345958069231,0.00201676390739522,0.0177585575800599
5,0.0109532046679075,0.0012040630734094,0.0112365811175269
6,0.00235429649465974,0.000791119708846702,0.00336213017491181
7,0.00169934284472712,0.000778072222742092,0.00346791535744748
8,0.00141722076143491,0.000789504047189822,0.00378124418510889
9,0.0013315232186176,0.000819105253970349,0.00408334528156001
10,0.00116755769055209,0.000837397006764879,0.00422807244602025
11,0.00108548320361964,0.00084876541990758,0.00440228567118489
12,0.00112331154296751,0.000851571589358506,0.00455843329640851
13,0.00115914116008471,0.000852184189877514,0.00462014227548831
14,0.00125107309101448,0.000852127308383269,0.00466601045768786
15,0.0013289965017689,0.000848151844405229,0.0046910976995328
16,0.00132985600445323,0.00084613144021119,0.00469704820259938
17,0.0013303537808609,0.000846662938206461,0.00470441469706673
18,0.00134022164106227,0.000846552701402803,0.00470492977305201
