"delta","m_true","method","variance","bias_abs","rmse","mhat","ari","var_ratio"
3,1,"Pooled",0.00066,0.00039,0.02564,1,1,0.135
3,1,"Flexible",0.00486,0.00317,0.06958,18,0,1
3,1,"Oracle_PH",0.00066,0.00039,0.02564,1,1,0.135
3,1,"l0_BIC",0.00233,0.00197,0.04824,1.602,0.418,0.479
3,1,"DP_Bayes",0.00092,0.00082,0.03037,1.434,0.63,0.19
3,3,"Pooled",0.00067,0.11833,0.1231,1,0,0.141
3,3,"Flexible",0.00479,0.00267,0.06908,18,0,1
3,3,"Oracle_PH",0.00126,0.00127,0.03538,3,1,0.262
3,3,"l0_BIC",0.0047,0.01758,0.07132,3.006,0.577,0.98
3,3,"DP_Bayes",0.00363,0.03207,0.07053,3.06,0.454,0.756
3,6,"Pooled",0.00061,0.24495,0.24736,1,0,0.133
3,6,"Flexible",0.00461,0.00238,0.06785,18,0,1
3,6,"Oracle_PH",0.00185,0.00164,0.04292,6,1,0.401
3,6,"l0_BIC",0.00678,0.01707,0.08441,4.69,0.538,1.47
3,6,"DP_Bayes",0.00548,0.0224,0.07928,4.942,0.46,1.189
3,9,"Pooled",0.00065,0.37073,0.37224,1,0,0.136
3,9,"Flexible",0.00475,0.00246,0.06887,18,0,1
3,9,"Oracle_PH",0.0029,0.00136,0.0538,9,1,0.611
3,9,"l0_BIC",0.00907,0.01424,0.09666,5.83,0.439,1.908
3,9,"DP_Bayes",0.00684,0.01552,0.0851,6.536,0.415,1.439
3,18,"Pooled",0.00069,0.74139,0.74239,1,0,0.137
3,18,"Flexible",0.00502,0.00274,0.07076,18,1,1
3,18,"Oracle_PH",0.00502,0.00274,0.07076,18,1,1
3,18,"l0_BIC",0.01311,0.01465,0.11586,9.144,0,2.61
3,18,"DP_Bayes",0.00881,0.01147,0.09501,10.766,0,1.755
6,1,"Pooled",0.00069,0.00143,0.02628,1,1,0.143
6,1,"Flexible",0.00482,0.00233,0.06929,18,0,1
6,1,"Oracle_PH",0.00069,0.00143,0.02628,1,1,0.143
6,1,"l0_BIC",0.00236,0.00188,0.04856,1.616,0.41,0.49
6,1,"DP_Bayes",0.00097,0.00131,0.0311,1.538,0.574,0.201
6,3,"Pooled",0.00062,0.23626,0.23871,1,0,0.132
6,3,"Flexible",0.00473,0.00156,0.06866,18,0,1
6,3,"Oracle_PH",0.00122,0.00112,0.03485,3,1,0.258
6,3,"l0_BIC",0.00259,0.00364,0.05091,3.252,0.936,0.549
6,3,"DP_Bayes",0.00226,0.0047,0.04765,3.754,0.888,0.477
6,6,"Pooled",0.00069,0.4899,0.49136,1,0,0.144
6,6,"Flexible",0.00481,0.00235,0.06921,18,0,1
6,6,"Oracle_PH",0.0019,0.00161,0.04346,6,1,0.396
6,6,"l0_BIC",0.00354,0.002,0.05936,6.154,0.946,0.737
6,6,"DP_Bayes",0.00329,0.00236,0.05728,6.952,0.88,0.685
6,9,"Pooled",0.00068,0.74151,0.74232,1,0,0.148
6,9,"Flexible",0.00459,0.00234,0.06769,18,0,1
6,9,"Oracle_PH",0.00281,0.00116,0.05296,9,1,0.613
6,9,"l0_BIC",0.00595,0.00517,0.0764,8.606,0.905,1.297
6,9,"DP_Bayes",0.00444,0.00351,0.06636,9.86,0.862,0.966
6,18,"Pooled",0.00072,1.4831,1.48362,1,0,0.151
6,18,"Flexible",0.00473,0.00218,0.06871,18,1,1
6,18,"Oracle_PH",0.00473,0.00218,0.06871,18,1,1
6,18,"l0_BIC",0.01618,0.00799,0.12663,14.016,0.014,3.42
6,18,"DP_Bayes",0.00761,0.00382,0.08698,16.708,0.29,1.609
12,1,"Pooled",0.00069,0.00199,0.0263,1,1,0.148
12,1,"Flexible",0.00466,0.00238,0.06818,18,0,1
12,1,"Oracle_PH",0.00069,0.00199,0.0263,1,1,0.148
12,1,"l0_BIC",0.00224,0.00152,0.04729,1.584,0.436,0.48
12,1,"DP_Bayes",0.00088,0.00171,0.02974,1.448,0.628,0.189
12,3,"Pooled",0.00062,0.47057,0.47186,1,0,0.133
12,3,"Flexible",0.00466,0.0045,0.06829,18,0,1
12,3,"Oracle_PH",0.0012,0.0038,0.03466,3,1,0.257
12,3,"l0_BIC",0.00143,0.00383,0.03796,3.112,0.986,0.307
12,3,"DP_Bayes",0.00147,0.00379,0.03849,3.752,0.921,0.316
12,6,"Pooled",0.00067,0.9798,0.98051,1,0,0.141
12,6,"Flexible",0.00474,0.00214,0.06874,18,0,1
12,6,"Oracle_PH",0.00187,0.00127,0.04322,6,1,0.395
12,6,"l0_BIC",0.00196,0.00138,0.04423,6.044,0.997,0.413
12,6,"DP_Bayes",0.00217,0.00133,0.04653,7.028,0.93,0.457
12,9,"Pooled",0.00072,1.48282,1.48325,1,0,0.153
12,9,"Flexible",0.00472,0.00248,0.06862,18,0,1
12,9,"Oracle_PH",0.00291,0.00182,0.0538,9,1,0.616
12,9,"l0_BIC",0.00295,0.00182,0.05416,9.024,0.999,0.624
12,9,"DP_Bayes",0.0031,0.00194,0.05553,10.02,0.933,0.656
12,18,"Pooled",0.00061,2.966,2.96622,1,0,0.132
12,18,"Flexible",0.00461,0.00319,0.06784,18,1,1
12,18,"Oracle_PH",0.00461,0.00319,0.06784,18,1,1
12,18,"l0_BIC",0.00461,0.00319,0.06784,18,1,1
12,18,"DP_Bayes",0.00467,0.00311,0.06829,18,1,1.014
