"method","true_group","tau_true","iteration","estimate"
"DP Bayes","Group A (tau=2)",2,1,1.90501671836651
"Flexible","Group A (tau=2)",2,1,1.90699952602173
"L0 (L=0.5)","Group A (tau=2)",2,1,1.90449042744813
"Pooled","Group A (tau=2)",2,1,2.52663781540554
"DP Bayes","Group B (tau=4)",4,1,3.98113169737591
"Flexible","Group B (tau=4)",4,1,3.98038494521599
"L0 (L=0.5)","Group B (tau=4)",4,1,3.97831505397283
"Pooled","Group B (tau=4)",4,1,2.52663781540554
"DP Bayes","Group A (tau=2)",2,2,2.01307658639972
"Flexible","Group A (tau=2)",2,2,2.01462449378589
"L0 (L=0.5)","Group A (tau=2)",2,2,2.01593637201276
"Pooled","Group A (tau=2)",2,2,2.61570997541695
"DP Bayes","Group B (tau=4)",4,2,4.0173685632999
"Flexible","Group B (tau=4)",4,2,3.9965654948386
"L0 (L=0.5)","Group B (tau=4)",4,2,4.01518171669335
"Pooled","Group B (tau=4)",4,2,2.61570997541695
"DP Bayes","Group A (tau=2)",2,3,1.93591531953044
"Flexible","Group A (tau=2)",2,3,1.93927275913161
"L0 (L=0.5)","Group A (tau=2)",2,3,1.93925236182026
"Pooled","Group A (tau=2)",2,3,2.53703987554094
"DP Bayes","Group B (tau=4)",4,3,3.92604586411862
"Flexible","Group B (tau=4)",4,3,3.90296737182004
"L0 (L=0.5)","Group B (tau=4)",4,3,3.93187740755586
"Pooled","Group B (tau=4)",4,3,2.53703987554094
"DP Bayes","Group A (tau=2)",2,4,1.99399716025775
"Flexible","Group A (tau=2)",2,4,1.98921876228143
"L0 (L=0.5)","Group A (tau=2)",2,4,1.99152157106798
"Pooled","Group A (tau=2)",2,4,2.59432755100654
"DP Bayes","Group B (tau=4)",4,4,3.99559870804917
"Flexible","Group B (tau=4)",4,4,4.02872181863857
"L0 (L=0.5)","Group B (tau=4)",4,4,4.00087483752988
"Pooled","Group B (tau=4)",4,4,2.59432755100654
"DP Bayes","Group A (tau=2)",2,5,1.8974860260132
"Flexible","Group A (tau=2)",2,5,1.90702502995457
"L0 (L=0.5)","Group A (tau=2)",2,5,1.89776779618814
"Pooled","Group A (tau=2)",2,5,2.50105310675445
"DP Bayes","Group B (tau=4)",4,5,3.91089531531657
"Flexible","Group B (tau=4)",4,5,3.93020160395209
"L0 (L=0.5)","Group B (tau=4)",4,5,3.90871883140912
"Pooled","Group B (tau=4)",4,5,2.50105310675445
"DP Bayes","Group A (tau=2)",2,6,2.01977563885571
"Flexible","Group A (tau=2)",2,6,2.00930935415134
"L0 (L=0.5)","Group A (tau=2)",2,6,2.01651163371217
"Pooled","Group A (tau=2)",2,6,2.60660679263625
"DP Bayes","Group B (tau=4)",4,6,3.9828387276083
"Flexible","Group B (tau=4)",4,6,3.95755818689338
"L0 (L=0.5)","Group B (tau=4)",4,6,3.98349549679243
"Pooled","Group B (tau=4)",4,6,2.60660679263625
"DP Bayes","Group A (tau=2)",2,7,1.99151370364948
"Flexible","Group A (tau=2)",2,7,1.98699274708263
"L0 (L=0.5)","Group A (tau=2)",2,7,1.98827681510509
"Pooled","Group A (tau=2)",2,7,2.55878960302395
"DP Bayes","Group B (tau=4)",4,7,3.88489888832592
"Flexible","Group B (tau=4)",4,7,3.86675031190892
"L0 (L=0.5)","Group B (tau=4)",4,7,3.88998610816797
"Pooled","Group B (tau=4)",4,7,2.55878960302395
"DP Bayes","Group A (tau=2)",2,8,2.00022177066344
"Flexible","Group A (tau=2)",2,8,2.001413153614
"L0 (L=0.5)","Group A (tau=2)",2,8,1.99908569714275
"Pooled","Group A (tau=2)",2,8,2.5871200673485
"DP Bayes","Group B (tau=4)",4,8,3.95281661556145
"Flexible","Group B (tau=4)",4,8,3.98513040893946
"L0 (L=0.5)","Group B (tau=4)",4,8,3.95920026449525
"Pooled","Group B (tau=4)",4,8,2.5871200673485
"DP Bayes","Group A (tau=2)",2,9,1.96952310166592
"Flexible","Group A (tau=2)",2,9,1.95792299056103
"L0 (L=0.5)","Group A (tau=2)",2,9,1.97590745382442
"Pooled","Group A (tau=2)",2,9,2.59348958106464
"DP Bayes","Group B (tau=4)",4,9,4.02794382239383
"Flexible","Group B (tau=4)",4,9,4.00543620000228
"L0 (L=0.5)","Group B (tau=4)",4,9,4.03451454462515
"Pooled","Group B (tau=4)",4,9,2.59348958106464
"DP Bayes","Group A (tau=2)",2,10,2.01969483606325
"Flexible","Group A (tau=2)",2,10,2.02310834466325
"L0 (L=0.5)","Group A (tau=2)",2,10,2.01774636155107
"Pooled","Group A (tau=2)",2,10,2.62182549184049
"DP Bayes","Group B (tau=4)",4,10,4.03172472944735
"Flexible","Group B (tau=4)",4,10,4.013410959382
"L0 (L=0.5)","Group B (tau=4)",4,10,4.03134346251577
"Pooled","Group B (tau=4)",4,10,2.62182549184049
"DP Bayes","Group A (tau=2)",2,11,1.99940412692263
"Flexible","Group A (tau=2)",2,11,1.99337363647322
"L0 (L=0.5)","Group A (tau=2)",2,11,1.99479098273941
"Pooled","Group A (tau=2)",2,11,2.61570498694592
"DP Bayes","Group B (tau=4)",4,11,4.06506844940045
"Flexible","Group B (tau=4)",4,11,4.04080424601456
"L0 (L=0.5)","Group B (tau=4)",4,11,4.06450433009446
"Pooled","Group B (tau=4)",4,11,2.61570498694592
"DP Bayes","Group A (tau=2)",2,12,2.02842161543811
"Flexible","Group A (tau=2)",2,12,2.02540768280852
"L0 (L=0.5)","Group A (tau=2)",2,12,2.02263484437912
"Pooled","Group A (tau=2)",2,12,2.62224804498005
"DP Bayes","Group B (tau=4)",4,12,4.02877131334823
"Flexible","Group B (tau=4)",4,12,4.01362528697166
"L0 (L=0.5)","Group B (tau=4)",4,12,4.02134551304889
"Pooled","Group B (tau=4)",4,12,2.62224804498005
"DP Bayes","Group A (tau=2)",2,13,2.00904055181128
"Flexible","Group A (tau=2)",2,13,1.99530625398684
"L0 (L=0.5)","Group A (tau=2)",2,13,2.00630085158913
